Hugo_Symbol	Entrez_Gene_Id	TARGET-30-PAAPFA-01	TARGET-30-PACRYY-01	TARGET-30-PACUGP-01	TARGET-30-PADENF-01	TARGET-30-PADIEY-01	TARGET-30-PADLIC-01	TARGET-30-PADLJN-01	TARGET-30-PADLPR-01	TARGET-30-PADMGA-01	TARGET-30-PADMTD-01	TARGET-30-PADPHP-01	TARGET-30-PADSEC-01	TARGET-30-PADUYJ-01	TARGET-30-PAKADI-01	TARGET-30-PAKAFK-01	TARGET-30-PALETP-01	TARGET-30-PALJVX-01	TARGET-30-PALNMX-01	TARGET-30-PALRIA-01	TARGET-30-PAPZYP-01	TARGET-30-PARABN-01	TARGET-30-PARACM-01	TARGET-30-PARAHE-01	TARGET-30-PARCWT-01	TARGET-30-PARDUJ-01	TARGET-30-PAREGK-01	TARGET-30-PARFBW-01	TARGET-30-PARGDJ-01	TARGET-30-PARGUX-01	TARGET-30-PARHYL-01	TARGET-30-PARIKF-01	TARGET-30-PARIKT-01	TARGET-30-PARIRD-01	TARGET-30-PARJAR-01	TARGET-30-PARJTB-01	TARGET-30-PARMFA-01	TARGET-30-PARMTT-01	TARGET-30-PARNCW-01	TARGET-30-PARNEE-01	TARGET-30-PARRBU-01	TARGET-30-PARSEA-01	TARGET-30-PARSHT-01	TARGET-30-PARUXY-01	TARGET-30-PARVME-01	TARGET-30-PARVRR-01	TARGET-30-PARXLM-01	TARGET-30-PARXZR-01	TARGET-30-PASATK-01	TARGET-30-PASAZJ-01	TARGET-30-PASBEN-01	TARGET-30-PASCKI-01	TARGET-30-PASCLP-01	TARGET-30-PASCUF-01	TARGET-30-PASDZJ-01	TARGET-30-PASFRV-01	TARGET-30-PASGPY-01	TARGET-30-PASJYB-01	TARGET-30-PASKJX-01	TARGET-30-PASLGS-01
ISG15	9636	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	0
RNF223	401934	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
C1orf159	54991	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MIR200A	406983	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MIR200B	406984	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MIR429	554210	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TTLL10	254173	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TNFRSF18	8784	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TNFRSF4	7293	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
SDF4	51150	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
B3GALT6	126792	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
FAM132A	388581	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
UBE2J2	118424	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
SCNN1D	6339	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
ACAP3	116983	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
PUSL1	126789	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
CPSF3L	54973	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
DVL1	1855	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TAS1R3	83756	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MXRA8	54587	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
AURKAIP1	54998	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
CCNL2	81669	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MRPL20	55052	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
ANKRD65	441869	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TMEM88B	643965	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
VWA1	64856	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
ATAD3C	219293	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
ATAD3B	83858	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
ATAD3A	55210	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TMEM240	339453	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
SSU72	29101	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
C1orf233	643988	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
CDK11A	728642	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
CDK11B	984	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MIB2	142678	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MMP23A	8511	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MMP23B	8510	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
SLC35E2B	728661	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
SLC35E2	9906	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
NADK	65220	-1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
GNB1	2782	0	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
CALML6	163688	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TMEM52	339456	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
GABRD	2563	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
PRKCZ	5590	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
C1orf86	199990	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
SKI	6497	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MORN1	79906	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
RER1	11079	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
PEX10	5192	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
PLCH2	9651	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
PANK4	55229	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
HES5	388585	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TNFRSF14	8764	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
FAM213B	127281	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MMEL1	79258	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TTC34	100287898	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
ACTRT2	140625	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
PRDM16	63976	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MIR4251	100422968	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
ARHGEF16	27237	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MEGF6	1953	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MIR551A	693135	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TPRG1L	127262	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
WRAP73	49856	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TP73	7161	1	1	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
TP73-AS1	57212	1	0	0	1	1	1	1	0	1	1	1	1	-1	0	0	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
CCDC27	148870	1	0	0	1	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
LRRC47	57470	1	0	0	0	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
CEP104	9731	1	0	0	0	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
DFFB	1677	1	0	0	0	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
C1orf174	339448	1	0	0	0	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
AJAP1	55966	1	0	0	0	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	1	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
MIR4417		1	0	0	0	1	1	1	0	1	1	1	1	-1	0	-1	0	1	0	0	-1	-1	0	-1	0	0	0	0	-1	-1	0	-1	1	0	0	-1	0	0	0	-1	-2	0	-1	1	0	0	-2	0	0	0	0	0	-1	1	-2	0	0	-1	-1	-1
